latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.41101,95.26782,337.5,0.53,0.5,2026-01-01,0721,N20,VIIRS,n,2,305.29,3.95,D,0
18.44492,95.2383,334.47,0.53,0.5,2026-01-01,0721,N20,VIIRS,l,2,305.93,3.82,D,0
18.44466,95.2402,341.66,0.53,0.5,2026-01-01,0721,N20,VIIRS,n,2,306.11,4.05,D,0
18.45319,95.27442,341.79,0.53,0.5,2026-01-01,0721,N20,VIIRS,n,2,303.69,7.26,D,0
18.44814,95.22968,346.26,0.53,0.5,2026-01-01,0721,N20,VIIRS,n,2,305.95,10.71,D,0
18.45275,95.2291,343.51,0.53,0.5,2026-01-01,0721,N20,VIIRS,n,2,308.52,20.56,D,0
18.45218,95.22413,340.01,0.53,0.5,2026-01-01,0721,N20,VIIRS,n,2,306.74,20.56,D,0
18.45735,95.22851,334.9,0.53,0.5,2026-01-01,0721,N20,VIIRS,n,2,303.23,20.56,D,0
18.49131,95.23934,351.73,0.53,0.5,2026-01-01,0721,N20,VIIRS,n,2,310.7,34.28,D,0
18.51748,95.34359,343.52,0.54,0.5,2026-01-01,0721,N20,VIIRS,n,2,306.22,5.9,D,0
18.55091,95.59142,331.31,0.56,0.51,2026-01-01,0721,N20,VIIRS,l,2,304.47,3.73,D,0
18.5503,95.58614,331.68,0.56,0.51,2026-01-01,0721,N20,VIIRS,l,2,306.27,3.73,D,0
18.54491,95.34712,345.99,0.54,0.51,2026-01-01,0721,N20,VIIRS,n,2,305.42,11.97,D,0
18.55575,95.19241,329.34,0.52,0.5,2026-01-01,0721,N20,VIIRS,n,2,304.31,2.52,D,0
18.63411,95.46651,333.88,0.55,0.51,2026-01-01,0721,N20,VIIRS,n,2,305.58,3.08,D,0
18.85253,96.41603,341.45,0.32,0.54,2026-01-01,0721,N20,VIIRS,n,2,306.52,1.8,D,0
18.82346,95.67429,328.86,0.57,0.52,2026-01-01,0721,N20,VIIRS,n,2,301.02,3.63,D,0
18.81827,95.41271,333.95,0.55,0.51,2026-01-01,0721,N20,VIIRS,l,2,306.67,3.41,D,0
18.83525,95.395,341.87,0.54,0.51,2026-01-01,0721,N20,VIIRS,n,2,306.27,6.47,D,0
18.95073,96.3836,330.92,0.64,0.54,2026-01-01,0721,N20,VIIRS,l,2,304.76,5.21,D,0
18.8499,95.39847,332.08,0.55,0.51,2026-01-01,0721,N20,VIIRS,l,2,305.36,3.62,D,0
18.54192,95.35103,331.67,0.54,0.51,2026-01-01,0721,N20,VIIRS,n,2,301.54,13.47,D,0
16.12037,95.67795,330.34,0.52,0.5,2026-01-01,0721,N20,VIIRS,l,2,302.32,3.12,D,0
16.23251,94.99997,342.51,0.47,0.48,2026-01-01,0721,N20,VIIRS,n,2,303.07,5.36,D,0
16.39251,96.18983,331.27,0.57,0.52,2026-01-01,0721,N20,VIIRS,l,2,302.79,2.83,D,0
16.25732,95.01939,339.01,0.48,0.48,2026-01-01,0721,N20,VIIRS,n,2,302.88,2.91,D,0
16.4528,96.2892,331.71,0.58,0.52,2026-01-01,0721,N20,VIIRS,l,2,301.99,5.58,D,0
16.51485,96.48387,335.26,0.6,0.53,2026-01-01,0721,N20,VIIRS,n,2,301.45,3.36,D,0
16.52727,96.38052,343.9,0.59,0.53,2026-01-01,0721,N20,VIIRS,n,2,302.34,7.69,D,0
16.52643,96.38304,343.81,0.59,0.53,2026-01-01,0721,N20,VIIRS,n,2,302.39,6.97,D,0
16.55448,96.41351,336.54,0.59,0.53,2026-01-01,0721,N20,VIIRS,n,2,303.4,5.62,D,0
16.71386,94.91132,334.93,0.48,0.48,2026-01-01,0721,N20,VIIRS,l,2,305.63,5.4,D,0
16.71332,94.90685,344.22,0.48,0.48,2026-01-01,0721,N20,VIIRS,n,2,303.68,5.35,D,0
16.77592,95.2378,333.32,0.5,0.49,2026-01-01,0721,N20,VIIRS,n,2,301.57,1.69,D,0
16.74091,94.73354,332.49,0.46,0.47,2026-01-01,0721,N20,VIIRS,n,2,304.13,3.97,D,0
16.77606,94.90791,330.43,0.48,0.48,2026-01-01,0721,N20,VIIRS,n,2,303.52,3.29,D,0
16.91777,95.94512,354.47,0.56,0.51,2026-01-01,0721,N20,VIIRS,n,2,303.28,12.98,D,0
16.7731,94.77814,336.99,0.47,0.47,2026-01-01,0721,N20,VIIRS,n,2,305.59,4.61,D,0
16.91903,95.94289,340.58,0.56,0.51,2026-01-01,0721,N20,VIIRS,n,2,302.33,8.0,D,0
16.80398,94.87879,339.83,0.47,0.48,2026-01-01,0721,N20,VIIRS,n,2,305.15,3.81,D,0
16.82059,94.8316,341.12,0.47,0.48,2026-01-01,0721,N20,VIIRS,n,2,303.28,8.8,D,0
16.83037,94.87542,342.87,0.47,0.48,2026-01-01,0721,N20,VIIRS,n,2,305.54,7.57,D,0
16.82335,94.81779,340.66,0.47,0.48,2026-01-01,0721,N20,VIIRS,n,2,304.1,5.14,D,0
16.79678,94.60078,340.3,0.46,0.47,2026-01-01,0721,N20,VIIRS,n,2,304.65,5.79,D,0
17.12313,96.36719,344.67,0.6,0.53,2026-01-01,0721,N20,VIIRS,n,2,304.82,8.82,D,0
17.12867,96.37227,333.65,0.6,0.53,2026-01-01,0721,N20,VIIRS,n,2,301.12,8.82,D,0
17.13355,96.37169,331.31,0.6,0.53,2026-01-01,0721,N20,VIIRS,n,2,300.11,4.23,D,0
17.29741,95.03752,340.49,0.49,0.49,2026-01-01,0721,N20,VIIRS,n,2,302.26,4.83,D,0
14.63613,77.35288,331.86,0.51,0.66,2026-01-01,0721,N20,VIIRS,n,2,295.4,5.23,D,0
17.94106,96.71836,345.11,0.32,0.55,2026-01-01,0721,N20,VIIRS,n,2,302.33,4.27,D,0
17.81391,95.22143,332.07,0.51,0.5,2026-01-01,0721,N20,VIIRS,n,2,301.1,3.34,D,0
18.21555,95.84514,331.05,0.57,0.52,2026-01-01,0721,N20,VIIRS,n,2,299.87,2.2,D,0
18.30737,95.66858,331.23,0.56,0.51,2026-01-01,0721,N20,VIIRS,n,2,302.77,2.79,D,0
18.43897,96.5363,332.35,0.32,0.55,2026-01-01,0721,N20,VIIRS,n,2,302.19,1.0,D,0
15.0978,75.66778,333.12,0.65,0.73,2026-01-01,0721,N20,VIIRS,n,2,297.7,5.45,D,0
18.40423,95.37084,341.91,0.54,0.51,2026-01-01,0721,N20,VIIRS,n,2,303.4,5.49,D,0
18.40888,95.37028,337.59,0.54,0.51,2026-01-01,0721,N20,VIIRS,n,2,301.11,3.83,D,0
18.40829,95.36517,351.03,0.54,0.5,2026-01-01,0721,N20,VIIRS,n,2,301.25,10.22,D,0
20.25902,86.26407,331.74,0.4,0.37,2026-01-01,0722,N20,VIIRS,n,2,298.3,2.72,D,0
19.02239,95.32495,330.67,0.54,0.51,2026-01-01,0722,N20,VIIRS,n,2,304.48,3.02,D,0
16.13987,76.98265,330.43,0.51,0.66,2026-01-01,0722,N20,VIIRS,n,2,295.87,3.86,D,0
19.18321,95.21803,336.33,0.54,0.51,2026-01-01,0722,N20,VIIRS,n,2,300.19,4.43,D,0
19.18262,95.21298,335.09,0.54,0.5,2026-01-01,0722,N20,VIIRS,n,2,301.82,3.93,D,0
19.18174,95.21593,343.07,0.54,0.51,2026-01-01,0722,N20,VIIRS,n,2,301.51,9.46,D,0
19.34803,96.49165,329.43,0.33,0.55,2026-01-01,0722,N20,VIIRS,n,2,293.7,1.48,D,0
19.36909,96.3532,336.55,0.32,0.55,2026-01-01,0722,N20,VIIRS,n,2,301.82,2.15,D,0
19.17432,94.0483,333.58,0.45,0.47,2026-01-01,0722,N20,VIIRS,n,2,304.03,2.18,D,0
19.17862,94.04774,331.89,0.45,0.47,2026-01-01,0722,N20,VIIRS,n,2,303.8,2.18,D,0
17.60606,83.20131,336.62,0.57,0.43,2026-01-01,0722,N20,VIIRS,n,2,297.81,7.38,D,2
19.61226,96.88603,326.66,0.35,0.57,2026-01-01,0722,N20,VIIRS,n,2,300.73,1.95,D,0
16.14241,75.46941,345.51,0.64,0.72,2026-01-01,0722,N20,VIIRS,n,2,298.48,6.85,D,0
16.44389,76.82289,331.9,0.51,0.66,2026-01-01,0722,N20,VIIRS,n,2,296.7,3.54,D,0
16.52753,77.15764,335.84,0.49,0.65,2026-01-01,0722,N20,VIIRS,n,2,296.34,3.87,D,0
19.50432,95.29713,332.66,0.55,0.51,2026-01-01,0722,N20,VIIRS,l,2,302.78,3.22,D,0
19.50211,95.29987,338.14,0.55,0.51,2026-01-01,0722,N20,VIIRS,n,2,303.02,5.36,D,0
19.53219,95.22771,347.36,0.54,0.51,2026-01-01,0722,N20,VIIRS,n,2,302.82,9.16,D,0
19.68176,96.14542,341.01,0.63,0.54,2026-01-01,0722,N20,VIIRS,n,2,304.89,7.77,D,0
16.87765,78.12162,338.42,0.41,0.61,2026-01-01,0722,N20,VIIRS,n,2,294.93,3.48,D,0
19.61106,95.21317,348.8,0.54,0.51,2026-01-01,0722,N20,VIIRS,n,2,305.32,9.56,D,0
19.60945,95.21519,334.47,0.54,0.51,2026-01-01,0722,N20,VIIRS,n,2,304.11,4.43,D,0
19.60889,95.21005,329.64,0.54,0.51,2026-01-01,0722,N20,VIIRS,n,2,304.15,4.43,D,0
19.61411,95.21457,345.24,0.54,0.51,2026-01-01,0722,N20,VIIRS,n,2,302.41,4.43,D,0
16.87737,78.12067,335.82,0.41,0.61,2026-01-01,0722,N20,VIIRS,n,2,295.29,4.15,D,0
19.90254,96.86803,344.88,0.35,0.57,2026-01-01,0722,N20,VIIRS,n,2,299.0,3.47,D,0
19.90219,96.86472,339.62,0.35,0.57,2026-01-01,0722,N20,VIIRS,n,2,299.76,3.47,D,0
19.75153,95.59,335.9,0.58,0.52,2026-01-01,0722,N20,VIIRS,n,2,304.11,4.81,D,0
19.90289,96.86651,350.02,0.35,0.57,2026-01-01,0722,N20,VIIRS,n,2,300.27,3.47,D,0
19.90256,96.86317,327.55,0.35,0.57,2026-01-01,0722,N20,VIIRS,l,2,299.58,3.47,D,0
17.08421,78.42688,340.94,0.39,0.59,2026-01-01,0722,N20,VIIRS,n,2,298.49,3.44,D,0
17.12901,78.34439,344.3,0.4,0.6,2026-01-01,0722,N20,VIIRS,n,2,295.62,3.17,D,0
20.05403,96.2556,331.3,0.32,0.55,2026-01-01,0722,N20,VIIRS,n,2,300.73,1.46,D,0
18.03276,81.75722,338.8,0.45,0.47,2026-01-01,0722,N20,VIIRS,n,2,300.55,3.93,D,0
18.03188,81.75887,334.01,0.45,0.47,2026-01-01,0722,N20,VIIRS,n,2,299.31,3.0,D,0
19.89337,93.58835,336.24,0.43,0.46,2026-01-01,0722,N20,VIIRS,n,2,306.28,3.62,D,0
18.2942,82.87179,335.01,0.39,0.44,2026-01-01,0722,N20,VIIRS,n,2,299.32,2.39,D,0
17.36889,78.08869,367.0,0.41,0.6,2026-01-01,0722,N20,VIIRS,h,2,300.47,10.42,D,0
17.3681,78.08494,332.89,0.41,0.6,2026-01-01,0722,N20,VIIRS,n,2,298.72,10.42,D,0
18.13863,81.85876,328.62,0.45,0.47,2026-01-01,0722,N20,VIIRS,n,2,301.32,2.44,D,0
20.32807,96.75843,337.21,0.35,0.57,2026-01-01,0722,N20,VIIRS,n,2,305.09,2.06,D,0
20.3106,96.28076,347.68,0.33,0.55,2026-01-01,0722,N20,VIIRS,n,2,301.86,4.53,D,0
20.12894,94.61433,338.43,0.5,0.49,2026-01-01,0722,N20,VIIRS,n,2,302.5,3.94,D,0
20.31868,96.21164,339.63,0.32,0.55,2026-01-01,0722,N20,VIIRS,n,2,302.88,2.38,D,0
20.3897,96.74174,340.34,0.35,0.57,2026-01-01,0722,N20,VIIRS,n,2,306.81,3.33,D,0
